Company name,Segment,Type,Website,Growth stage,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Accredited sponsor,Hires international students
NUAI,startup,artificial intelligence;commission;saas,http://nuai.ai,early stage,1,marketing;enterprise software,Melbourne,"Melbourne, Australia",An innovative AI service company building customised end-to-end AI+solutions to business that is commercialised and scalable,https://www.linkedin.com/company/nuaiio/,https://ecosystem.innovationvictoria.com/companies/nuai,0,,
Nucleotrace,startup,,https://www.nucleotrace.tech/,early stage,1,health;energy,Melbourne,"Burnley, Burnley Street, Burnley, Melbourne, City of Yarra, Victoria, 3121, Australia",Developer of DNA tracing and identification technology designed for pharmaceutical supply chain monitoring and ammunition fingerprinting. The company's DNA tagging system is encoded into the product through synthetic DNA creating a unique fingerprint,https://www.linkedin.com/company/nucleotrace/,https://ecosystem.innovationvictoria.com/companies/nucleotrace,0,,
Nucleus Logic,scaleup,subscription;saas,http://nucleuslogic.com,early stage,2-10,enterprise software,Melbourne,"3000 Melbourne, Australia","Platform that brings all of the current processes together in a nimble, future-proof platform that will change and add value to the business",https://www.linkedin.com/company/nucleus-logic/,https://ecosystem.innovationvictoria.com/companies/nucleus_logic,0,,
Nucleus Network,,commission;manufacturing,http://nucleusnetwork.com,early stage,501-1000,health,Melbourne,"89, Commercial Road, 3004 Melbourne, Australia",Clinical research organisation for the conduct of early phase clinical trials,https://www.linkedin.com/company/nucleus-network/,https://ecosystem.innovationvictoria.com/companies/nucleus_network,0,,
NucleusCare,scaleup,manufacturing,https://www.nucleuscare.com/,early stage,2-10,health;semiconductors,Melbourne,"484, Saint Kilda Road, Melbourne, Australia",Wireless home intercom system that can be activated with voice,https://www.linkedin.com/company/nucleuscare/,https://ecosystem.innovationvictoria.com/companies/nucleus_1,0,,
Nudge,startup,commission;saas,http://nudgesavings.com,early stage,1,fintech,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Gamified financial education and savings app,https://www.linkedin.com/company/nudgesavings/,https://ecosystem.innovationvictoria.com/companies/nudge_11,0,,
Nudie Glow,startup,selling own inventory;commission;marketplace & ecommerce,http://nudieglow.com,early stage,11-50,wellness beauty,Melbourne,"3000 Melbourne, Australia",Australia's leading Korean beauty and skincare destination featuring 40+ brands & 500+ products,https://www.linkedin.com/company/nudie-glow/,https://ecosystem.innovationvictoria.com/companies/nudie_glow,0,,
NuForm Steel,scaleup,manufacturing,http://nuformsteel.com.au,early stage,2-10,real estate,Melbourne,"10, Reid Street, Bayswater, Melbourne, City of Knox, Victoria, 3153, Australia",Transforming the heart of the CBD campus by creating new facilities to deliver better services for students,https://www.linkedin.com/company/nuform-steel/,https://ecosystem.innovationvictoria.com/companies/nuform_steel_fabrications_pty_ltd,0,,
Number,startup,artificial intelligence;natural language processing;commission;saas,https://number.com.au/,early stage,2-10,marketing;enterprise software,Notting Hill,"Notting Hill, City of Monash, Victoria, 3168, Australia",AI-powered voice agents for Australian businesses.,https://www.linkedin.com/company/numbercomau/,https://ecosystem.innovationvictoria.com/companies/number_2,0,,
Nura,scaleup,commission;manufacturing,https://www.nuraphone.com/,breakout stage,11-50,music,Melbourne,"Brunswick, Melbourne, City of Moreland, Victoria, 3056, Australia",Award-winning personalised sound technology in a compact form,https://www.linkedin.com/company/nura-music/,https://ecosystem.innovationvictoria.com/companies/nura_1,0,,
